s1_resize_ratio,select_threshold,stage1_ensemble_ratio,crop_width,crop_height,total_samples,crop_accuracy,stage1_accuracy,stage2_accuracy,stage3_ensemble_accuracy,avg_stage1_time,avg_stage2_time,avg_stage3_time,avg_total_time,avg_stage1_tflops,avg_stage2_tflops,avg_total_tflops,avg_peak_memory_gb,timestamp
0.3,0.5,0.5,1176,602,501,97.01,89.22,90.42,91.42,0.3565,0.8435,0.0268,1.2269,5.27,15.75,21.02,7.767,2025-09-12 04:53:41
0.5,0.5,0.5,1176,602,501,97.41,92.42,92.42,93.01,0.7658,0.774,0.0288,1.5687,14.34,14.55,28.88,7.776,2025-09-12 04:56:21
