model_name,experiment,resize_ratio,region_threshold,bbox_padding,ensemble_ratio,total_samples,crop_accuracy,stage1_accuracy,stage2_accuracy,stage3_accuracy,avg_stage1_time,avg_stage2_time,avg_stage3_time,avg_total_time,avg_stage1_tflops,avg_stage2_tflops,avg_total_tflops,timestamp
gui-actor-2B+GOLD,visualize,0.5,0.12,0,0.7,334,96.41,73.05,82.04,83.53,0.3097,0.1651,0.0001,0.475,5.49,1.3,6.79,2025-09-24 01:28:18
gui-actor-3B+GOLD,visualize,0.5,0.12,0,0.7,334,98.8,76.65,87.72,89.82,0.445,0.2065,0.0002,0.6516,7.48,1.75,9.23,2025-09-24 01:52:08
gui-actor-3B+GOLD,visualize,0.3,0.12,0,0.7,334,97.01,44.31,87.72,85.63,0.2658,0.3141,0.0001,0.58,2.95,4.42,7.37,2025-09-24 02:23:02
gui-actor-2B+GOLD,visualize,0.3,0.12,0,0.7,334,95.51,44.61,83.83,78.74,0.191,0.2238,0.0001,0.4149,1.98,3.28,5.26,2025-09-24 02:56:11
gui-actor-3B+GOLD,prompt_appendix,0.5,0.12,0,0.7,334,98.8,76.95,86.23,87.72,0.4461,0.2103,0.0001,0.6565,7.37,1.62,8.98,2025-09-24 03:46:23
